"frame","particle","area","x","y","major","minor","circularity","convexity","label"
1,"RoiMask_0_STL22_MAX_Maria_AFA4007_5-1.tif:0001-0001-0089:c:1/2 t:1/241 - 1 - Position 5.Project Maximum Z",12.8865,4.6733,9.7607,6.8716,2.3877,0.614,0.8991,"hi"
2,"RoiMask_0_STL22_MAX_Maria_AFA4007_5-1.tif:0001-0001-0089:c:1/2 t:1/241 - 1 - Position 5.Project Maximum Z",11.1925,3.8419,6.7616,6.2434,2.2825,0.6499,0.9468,"hi"
3,"RoiMask_0_STL22_MAX_Maria_AFA4007_5-1.tif:0001-0001-0089:c:1/2 t:1/241 - 1 - Position 5.Project Maximum Z",11.9427,4.2792,8.1096,7.9139,1.9214,0.4553,0.9164,"hi"
4,"RoiMask_0_STL22_MAX_Maria_AFA4007_5-1.tif:0001-0001-0089:c:1/2 t:1/241 - 1 - Position 5.Project Maximum Z",13.7214,4.9814,12.1463,10.1835,1.7156,0.3653,0.8852,"hi"
5,"RoiMask_0_STL22_MAX_Maria_AFA4007_5-1.tif:0001-0001-0089:c:1/2 t:1/241 - 1 - Position 5.Project Maximum Z",13.673,4.9847,13.2421,9.0878,1.9156,0.4448,0.9262,"hi"
6,"RoiMask_0_STL22_MAX_Maria_AFA4007_5-1.tif:0001-0001-0089:c:1/2 t:1/241 - 1 - Position 5.Project Maximum Z",13.4552,4.7615,13.8351,8.5187,2.0111,0.4912,0.9488,"hi"
7,"RoiMask_0_STL22_MAX_Maria_AFA4007_5-1.tif:0001-0001-0089:c:1/2 t:1/241 - 1 - Position 5.Project Maximum Z",12.1121,4.8288,13.4036,7.0184,2.1973,0.5654,0.936,"hi"
8,"RoiMask_0_STL22_MAX_Maria_AFA4007_5-1.tif:0001-0001-0089:c:1/2 t:1/241 - 1 - Position 5.Project Maximum Z",12.1726,4.5815,10.4785,8.0027,1.9367,0.4749,0.9175,"hi"
9,"RoiMask_0_STL22_MAX_Maria_AFA4007_5-1.tif:0001-0001-0089:c:1/2 t:1/241 - 1 - Position 5.Project Maximum Z",13.6609,4.4687,9.2905,7.9346,2.1921,0.533,0.9262,"hi"
10,"RoiMask_0_STL22_MAX_Maria_AFA4007_5-1.tif:0001-0001-0089:c:1/2 t:1/241 - 1 - Position 5.Project Maximum Z",12.5356,4.6062,10.02,6.4472,2.4756,0.6534,0.9164,"hi"
11,"RoiMask_0_STL22_MAX_Maria_AFA4007_5-1.tif:0001-0001-0089:c:1/2 t:1/241 - 1 - Position 5.Project Maximum Z",13.4673,4.319,9.7403,7.7865,2.2022,0.5546,0.9049,"hi"
12,"RoiMask_0_STL22_MAX_Maria_AFA4007_5-1.tif:0001-0001-0089:c:1/2 t:1/241 - 1 - Position 5.Project Maximum Z",13.6488,4.4779,9.0313,7.7184,2.2515,0.5572,0.9093,"hi"
13,"RoiMask_0_STL22_MAX_Maria_AFA4007_5-1.tif:0001-0001-0089:c:1/2 t:1/241 - 1 - Position 5.Project Maximum Z",13.5883,4.5797,8.5775,7.81,2.2153,0.5317,0.8945,"hi"
14,"RoiMask_0_STL22_MAX_Maria_AFA4007_5-1.tif:0001-0001-0089:c:1/2 t:1/241 - 1 - Position 5.Project Maximum Z",14.7136,4.2979,7.7149,8.781,2.1335,0.4948,0.9177,"hi"
15,"RoiMask_0_STL22_MAX_Maria_AFA4007_5-1.tif:0001-0001-0089:c:1/2 t:1/241 - 1 - Position 5.Project Maximum Z",11.8338,4.4132,8.4543,6.4227,2.3459,0.5814,0.8977,"hi"
16,"RoiMask_0_STL22_MAX_Maria_AFA4007_5-1.tif:0001-0001-0089:c:1/2 t:1/241 - 1 - Position 5.Project Maximum Z",13.7819,4.6341,11.5616,8.5281,2.0576,0.5081,0.9444,"hi"
17,"RoiMask_0_STL22_MAX_Maria_AFA4007_5-1.tif:0001-0001-0089:c:1/2 t:1/241 - 1 - Position 5.Project Maximum Z",14.6652,4.5298,15.6728,7.9429,2.3508,0.4712,0.7777,"hi"
18,"RoiMask_0_STL22_MAX_Maria_AFA4007_5-1.tif:0001-0001-0089:c:1/2 t:1/241 - 1 - Position 5.Project Maximum Z",12.9228,4.7793,15.4162,6.9659,2.362,0.5289,0.8354,"hi"
19,"RoiMask_0_STL22_MAX_Maria_AFA4007_5-1.tif:0001-0001-0089:c:1/2 t:1/241 - 1 - Position 5.Project Maximum Z",12.221,4.887,13.5902,6.8353,2.2765,0.5881,0.9426,"hi"
20,"RoiMask_0_STL22_MAX_Maria_AFA4007_5-1.tif:0001-0001-0089:c:1/2 t:1/241 - 1 - Position 5.Project Maximum Z",11.3135,4.7001,9.1091,7.3939,1.9482,0.5103,0.8888,"hi"
21,"RoiMask_0_STL22_MAX_Maria_AFA4007_5-1.tif:0001-0001-0089:c:1/2 t:1/241 - 1 - Position 5.Project Maximum Z",12.3057,3.9764,6.4547,8.0947,1.9356,0.4773,0.9212,"hi"
22,"RoiMask_0_STL22_MAX_Maria_AFA4007_5-1.tif:0001-0001-0089:c:1/2 t:1/241 - 1 - Position 5.Project Maximum Z",11.495,4.1578,6.7807,7.124,2.0545,0.5249,0.8809,"hi"
23,"RoiMask_0_STL22_MAX_Maria_AFA4007_5-1.tif:0001-0001-0089:c:1/2 t:1/241 - 1 - Position 5.Project Maximum Z",11.9669,4.4336,7.8141,7.325,2.0801,0.4661,0.8428,"hi"
24,"RoiMask_0_STL22_MAX_Maria_AFA4007_5-1.tif:0001-0001-0089:c:1/2 t:1/241 - 1 - Position 5.Project Maximum Z",12.6324,4.4078,9.6525,8.3079,1.936,0.4804,0.9435,"hi"
25,"RoiMask_0_STL22_MAX_Maria_AFA4007_5-1.tif:0001-0001-0089:c:1/2 t:1/241 - 1 - Position 5.Project Maximum Z",12.1363,4.3529,9.6553,7.5179,2.0554,0.5158,0.93,"hi"
26,"RoiMask_0_STL22_MAX_Maria_AFA4007_5-1.tif:0001-0001-0089:c:1/2 t:1/241 - 1 - Position 5.Project Maximum Z",10.9142,4.2462,8.6427,7.0667,1.9665,0.5152,0.9088,"hi"
27,"RoiMask_0_STL22_MAX_Maria_AFA4007_5-1.tif:0001-0001-0089:c:1/2 t:1/241 - 1 - Position 5.Project Maximum Z",12.0516,4.3945,8.2047,7.7218,1.9872,0.4736,0.8672,"hi"
28,"RoiMask_0_STL22_MAX_Maria_AFA4007_5-1.tif:0001-0001-0089:c:1/2 t:1/241 - 1 - Position 5.Project Maximum Z",12.5477,4.1937,8.9854,7.2866,2.1925,0.5183,0.9165,"hi"
29,"RoiMask_0_STL22_MAX_Maria_AFA4007_5-1.tif:0001-0001-0089:c:1/2 t:1/241 - 1 - Position 5.Project Maximum Z",13.2616,4.3251,12.0457,8.5992,1.9636,0.4224,0.908,"hi"
30,"RoiMask_0_STL22_MAX_Maria_AFA4007_5-1.tif:0001-0001-0089:c:1/2 t:1/241 - 1 - Position 5.Project Maximum Z",13.1043,4.2747,12.7791,7.6462,2.1821,0.4743,0.8954,"hi"
31,"RoiMask_0_STL22_MAX_Maria_AFA4007_5-1.tif:0001-0001-0089:c:1/2 t:1/241 - 1 - Position 5.Project Maximum Z",13.1285,4.1471,12.2198,6.3571,2.6295,0.5828,0.8746,"hi"
32,"RoiMask_0_STL22_MAX_Maria_AFA4007_5-1.tif:0001-0001-0089:c:1/2 t:1/241 - 1 - Position 5.Project Maximum Z",14.2417,4.4967,10.8471,7.9448,2.2824,0.5175,0.9075,"hi"
33,"RoiMask_0_STL22_MAX_Maria_AFA4007_5-1.tif:0001-0001-0089:c:1/2 t:1/241 - 1 - Position 5.Project Maximum Z",13.7577,4.634,9.1893,8.6128,2.0338,0.4644,0.9118,"hi"
34,"RoiMask_0_STL22_MAX_Maria_AFA4007_5-1.tif:0001-0001-0089:c:1/2 t:1/241 - 1 - Position 5.Project Maximum Z",11.3498,4.4597,10.8186,5.8716,2.4612,0.6878,0.9451,"hi"
35,"RoiMask_0_STL22_MAX_Maria_AFA4007_5-1.tif:0001-0001-0089:c:1/2 t:1/241 - 1 - Position 5.Project Maximum Z",10.9505,4.8245,13.896,8.2143,1.6973,0.4164,0.9273,"hi"
36,"RoiMask_0_STL22_MAX_Maria_AFA4007_5-1.tif:0001-0001-0089:c:1/2 t:1/241 - 1 - Position 5.Project Maximum Z",11.0594,4.5359,13.0817,6.4175,2.1942,0.517,0.8759,"hi"
37,"RoiMask_0_STL22_MAX_Maria_AFA4007_5-1.tif:0001-0001-0089:c:1/2 t:1/241 - 1 - Position 5.Project Maximum Z",13.0196,4.7035,10.9506,7.3813,2.2458,0.5361,0.9244,"hi"
38,"RoiMask_0_STL22_MAX_Maria_AFA4007_5-1.tif:0001-0001-0089:c:1/2 t:1/241 - 1 - Position 5.Project Maximum Z",13.9392,4.7883,8.7827,8.0056,2.2169,0.5478,0.9253,"hi"
39,"RoiMask_0_STL22_MAX_Maria_AFA4007_5-1.tif:0001-0001-0089:c:1/2 t:1/241 - 1 - Position 5.Project Maximum Z",13.2616,4.7462,8.6486,7.9749,2.1173,0.5358,0.9249,"hi"
40,"RoiMask_0_STL22_MAX_Maria_AFA4007_5-1.tif:0001-0001-0089:c:1/2 t:1/241 - 1 - Position 5.Project Maximum Z",12.0032,4.1853,10.2335,6.0699,2.5178,0.6717,0.9126,"hi"
41,"RoiMask_0_STL22_MAX_Maria_AFA4007_5-1.tif:0001-0001-0089:c:1/2 t:1/241 - 1 - Position 5.Project Maximum Z",14.4716,4.1121,14.7723,8.6748,2.1241,0.4918,0.9225,"hi"
42,"RoiMask_0_STL22_MAX_Maria_AFA4007_5-1.tif:0001-0001-0089:c:1/2 t:1/241 - 1 - Position 5.Project Maximum Z",13.3463,4.308,14.7277,7.5385,2.2542,0.5985,0.9542,"hi"
43,"RoiMask_0_STL22_MAX_Maria_AFA4007_5-1.tif:0001-0001-0089:c:1/2 t:1/241 - 1 - Position 5.Project Maximum Z",12.0032,4.4293,13.6983,5.8863,2.5963,0.68,0.899,"hi"
44,"RoiMask_0_STL22_MAX_Maria_AFA4007_5-1.tif:0001-0001-0089:c:1/2 t:1/241 - 1 - Position 5.Project Maximum Z",12.8381,4.3025,14.5346,7.6932,2.1247,0.5573,0.9477,"hi"
45,"RoiMask_0_STL22_MAX_Maria_AFA4007_5-1.tif:0001-0001-0089:c:1/2 t:1/241 - 1 - Position 5.Project Maximum Z",12.6445,4.313,13.8632,5.8781,2.7389,0.7051,0.933,"hi"
46,"RoiMask_0_STL22_MAX_Maria_AFA4007_5-1.tif:0001-0001-0089:c:1/2 t:1/241 - 1 - Position 5.Project Maximum Z",13.2616,4.6051,10.5191,8.6047,1.9623,0.4715,0.938,"hi"
47,"RoiMask_0_STL22_MAX_Maria_AFA4007_5-1.tif:0001-0001-0089:c:1/2 t:1/241 - 1 - Position 5.Project Maximum Z",12.4025,4.4536,8.3918,7.8402,2.0142,0.5154,0.9259,"hi"
48,"RoiMask_0_STL22_MAX_Maria_AFA4007_5-1.tif:0001-0001-0089:c:1/2 t:1/241 - 1 - Position 5.Project Maximum Z",10.7085,4.4221,9.5483,5.5973,2.4359,0.7195,0.9465,"hi"
49,"RoiMask_0_STL22_MAX_Maria_AFA4007_5-1.tif:0001-0001-0089:c:1/2 t:1/241 - 1 - Position 5.Project Maximum Z",15.0524,4.3556,13.965,9.2859,2.0639,0.463,0.9322,"hi"
50,"RoiMask_0_STL22_MAX_Maria_AFA4007_5-1.tif:0001-0001-0089:c:1/2 t:1/241 - 1 - Position 5.Project Maximum Z",14.1449,4.2512,15.3981,8.3304,2.1619,0.5221,0.9412,"hi"
51,"RoiMask_0_STL22_MAX_Maria_AFA4007_5-1.tif:0001-0001-0089:c:1/2 t:1/241 - 1 - Position 5.Project Maximum Z",13.2011,4.1764,14.8664,6.9835,2.4068,0.6281,0.9393,"hi"
52,"RoiMask_0_STL22_MAX_Maria_AFA4007_5-1.tif:0001-0001-0089:c:1/2 t:1/241 - 1 - Position 5.Project Maximum Z",12.5356,4.2523,12.7253,6.0606,2.6336,0.7015,0.9557,"hi"
53,"RoiMask_0_STL22_MAX_Maria_AFA4007_5-1.tif:0001-0001-0089:c:1/2 t:1/241 - 1 - Position 5.Project Maximum Z",13.5036,4.6116,9.7421,7.9837,2.1536,0.5284,0.9281,"hi"
54,"RoiMask_0_STL22_MAX_Maria_AFA4007_5-1.tif:0001-0001-0089:c:1/2 t:1/241 - 1 - Position 5.Project Maximum Z",12.2815,4.6207,9.8018,6.7449,2.3184,0.6173,0.8966,"hi"
55,"RoiMask_0_STL22_MAX_Maria_AFA4007_5-1.tif:0001-0001-0089:c:1/2 t:1/241 - 1 - Position 5.Project Maximum Z",10.7327,4.3645,12.0186,5.7006,2.3972,0.6514,0.9371,"hi"
56,"RoiMask_0_STL22_MAX_Maria_AFA4007_5-1.tif:0001-0001-0089:c:1/2 t:1/241 - 1 - Position 5.Project Maximum Z",12.7897,4.3354,14.4645,7.9952,2.0368,0.5315,0.9321,"hi"
57,"RoiMask_0_STL22_MAX_Maria_AFA4007_5-1.tif:0001-0001-0089:c:1/2 t:1/241 - 1 - Position 5.Project Maximum Z",13.2132,4.338,14.2709,7.5362,2.2324,0.578,0.945,"hi"
58,"RoiMask_0_STL22_MAX_Maria_AFA4007_5-1.tif:0001-0001-0089:c:1/2 t:1/241 - 1 - Position 5.Project Maximum Z",10.406,4.2104,13.0923,5.8864,2.2508,0.642,0.9343,"hi"
59,"RoiMask_0_STL22_MAX_Maria_AFA4007_5-1.tif:0001-0001-0089:c:1/2 t:1/241 - 1 - Position 5.Project Maximum Z",13.6367,4.7046,9.7784,8.4301,2.0596,0.4821,0.9295,"hi"
60,"RoiMask_0_STL22_MAX_Maria_AFA4007_5-1.tif:0001-0001-0089:c:1/2 t:1/241 - 1 - Position 5.Project Maximum Z",13.0922,4.724,9.2069,7.4833,2.2276,0.5924,0.9401,"hi"
61,"RoiMask_0_STL22_MAX_Maria_AFA4007_5-1.tif:0001-0001-0089:c:1/2 t:1/241 - 1 - Position 5.Project Maximum Z",10.7327,4.6911,10.0618,6.2818,2.1754,0.6232,0.9116,"hi"
62,"RoiMask_0_STL22_MAX_Maria_AFA4007_5-1.tif:0001-0001-0089:c:1/2 t:1/241 - 1 - Position 5.Project Maximum Z",12.4146,4.3118,11.8984,7.3676,2.1454,0.5592,0.943,"hi"
63,"RoiMask_0_STL22_MAX_Maria_AFA4007_5-1.tif:0001-0001-0089:c:1/2 t:1/241 - 1 - Position 5.Project Maximum Z",13.4915,4.4247,14.2991,7.7281,2.2228,0.5573,0.9354,"hi"
64,"RoiMask_0_STL22_MAX_Maria_AFA4007_5-1.tif:0001-0001-0089:c:1/2 t:1/241 - 1 - Position 5.Project Maximum Z",10.9747,4.4557,14.0746,6.4931,2.1521,0.6186,0.9322,"hi"
65,"RoiMask_0_STL22_MAX_Maria_AFA4007_5-1.tif:0001-0001-0089:c:1/2 t:1/241 - 1 - Position 5.Project Maximum Z",10.9989,4.3007,12.6927,5.6314,2.4868,0.6947,0.9584,"hi"
66,"RoiMask_0_STL22_MAX_Maria_AFA4007_5-1.tif:0001-0001-0089:c:1/2 t:1/241 - 1 - Position 5.Project Maximum Z",12.1242,4.289,12.2587,6.2021,2.489,0.6918,0.9493,"hi"
67,"RoiMask_0_STL22_MAX_Maria_AFA4007_5-1.tif:0001-0001-0089:c:1/2 t:1/241 - 1 - Position 5.Project Maximum Z",13.9271,4.3393,9.9822,8.0979,2.1898,0.5325,0.9059,"hi"
68,"RoiMask_0_STL22_MAX_Maria_AFA4007_5-1.tif:0001-0001-0089:c:1/2 t:1/241 - 1 - Position 5.Project Maximum Z",14.3748,4.5131,8.5963,8.0528,2.2728,0.5529,0.9325,"hi"
69,"RoiMask_0_STL22_MAX_Maria_AFA4007_5-1.tif:0001-0001-0089:c:1/2 t:1/241 - 1 - Position 5.Project Maximum Z",11.8217,4.272,9.5916,6.0019,2.5079,0.6755,0.908,"hi"
70,"RoiMask_0_STL22_MAX_Maria_AFA4007_5-1.tif:0001-0001-0089:c:1/2 t:1/241 - 1 - Position 5.Project Maximum Z",13.0075,4.0372,11.7787,7.7912,2.1257,0.5487,0.9356,"hi"
71,"RoiMask_0_STL22_MAX_Maria_AFA4007_5-1.tif:0001-0001-0089:c:1/2 t:1/241 - 1 - Position 5.Project Maximum Z",14.278,3.8911,13.9363,7.9963,2.2735,0.5685,0.9455,"hi"
72,"RoiMask_0_STL22_MAX_Maria_AFA4007_5-1.tif:0001-0001-0089:c:1/2 t:1/241 - 1 - Position 5.Project Maximum Z",10.0067,4.0694,11.8678,4.8448,2.6298,0.8117,0.9561,"hi"
