 ,Label,Area,X,Y,XM,YM,Perim.,Major,Minor,Angle,Circ.,Slice,AR,Round,Solidity
1,RoiMask_0_STL22_MAX_Maria_AFA4007_9-1.tif:0001-0001-0088:c:1/2 t:1/241 - 1 - Position 9.Project Maximum Z,10.8779,6.3413,9.7362,6.3413,9.7362,14.2447,6.0111,2.3041,91.8014,0.6737,1,2.6089,0.3833,0.9419
2,RoiMask_0_STL22_MAX_Maria_AFA4007_9-1.tif:0002-0001-0138:c:1/2 t:2/241 - 1 - Position 9.Project Maximum Z,13.4915,5.7693,15.2848,5.7693,15.2848,19.8782,8.6774,1.9796,75.1201,0.4291,2,4.3834,0.2281,0.8916
3,RoiMask_0_STL22_MAX_Maria_AFA4007_9-1.tif:0003-0001-0137:c:1/2 t:3/241 - 1 - Position 9.Project Maximum Z,13.3584,5.6924,15.3646,5.6924,15.3646,18.7137,7.8795,2.1586,73.4245,0.4793,3,3.6503,0.2739,0.8618
4,RoiMask_0_STL22_MAX_Maria_AFA4007_9-1.tif:0004-0001-0120:c:1/2 t:4/241 - 1 - Position 9.Project Maximum Z,10.5875,6.2261,13.4431,6.2261,13.4431,14.5825,6.0523,2.2273,84.3334,0.6257,4,2.7173,0.3680,0.9383
5,RoiMask_0_STL22_MAX_Maria_AFA4007_9-1.tif:0005-0001-0075:c:1/2 t:5/241 - 1 - Position 9.Project Maximum Z,12.9107,6.6785,8.1078,6.6785,8.1078,19.8248,8.4896,1.9363,97.1659,0.4128,5,4.3845,0.2281,0.8981
6,RoiMask_0_STL22_MAX_Maria_AFA4007_9-1.tif:0006-0001-0074:c:1/2 t:6/241 - 1 - Position 9.Project Maximum Z,13.2616,6.6108,7.9506,6.6108,7.9506,18.5315,7.9487,2.1243,100.3344,0.4853,6,3.7419,0.2672,0.9103
7,RoiMask_0_STL22_MAX_Maria_AFA4007_9-1.tif:0007-0001-0095:c:1/2 t:7/241 - 1 - Position 9.Project Maximum Z,9.0024,6.6047,10.0681,6.6047,10.0681,13.6758,5.1165,2.2402,89.3577,0.6049,7,2.2839,0.4378,0.8953
8,RoiMask_0_STL22_MAX_Maria_AFA4007_9-1.tif:0008-0001-0132:c:1/2 t:8/241 - 1 - Position 9.Project Maximum Z,13.9150,6.3041,14.5931,6.3041,14.5931,19.2559,8.4367,2.1000,78.6051,0.4716,8,4.0175,0.2489,0.9222
9,RoiMask_0_STL22_MAX_Maria_AFA4007_9-1.tif:0009-0001-0139:c:1/2 t:9/241 - 1 - Position 9.Project Maximum Z,12.5840,6.0099,15.4295,6.0099,15.4295,16.8249,7.1439,2.2428,71.2670,0.5586,9,3.1852,0.3139,0.9167
10,RoiMask_0_STL22_MAX_Maria_AFA4007_9-1.tif:0010-0001-0128:c:1/2 t:10/241 - 1 - Position 9.Project Maximum Z,9.2928,6.3244,14.2033,6.3244,14.2033,12.9247,5.3171,2.2253,82.6844,0.6991,10,2.3894,0.4185,0.9476
11,RoiMask_0_STL22_MAX_Maria_AFA4007_9-1.tif:0011-0001-0104:c:1/2 t:11/241 - 1 - Position 9.Project Maximum Z,12.4267,6.8032,11.6578,6.8032,11.6578,17.6092,8.0665,1.9615,83.3190,0.5036,11,4.1125,0.2432,0.9252
12,RoiMask_0_STL22_MAX_Maria_AFA4007_9-1.tif:0012-0001-0069:c:1/2 t:12/241 - 1 - Position 9.Project Maximum Z,12.7897,6.6125,7.7473,6.6125,7.7473,17.5180,7.9942,2.0370,95.0771,0.5237,12,3.9245,0.2548,0.9442
13,RoiMask_0_STL22_MAX_Maria_AFA4007_9-1.tif:0013-0001-0084:c:1/2 t:13/241 - 1 - Position 9.Project Maximum Z,10.0672,6.6647,9.1382,6.6647,9.1382,13.5958,5.8119,2.2055,92.3978,0.6844,13,2.6352,0.3795,0.9708
14,RoiMask_0_STL22_MAX_Maria_AFA4007_9-1.tif:0014-0001-0104:c:1/2 t:14/241 - 1 - Position 9.Project Maximum Z,10.2124,6.5993,11.4175,6.5993,11.4175,13.7136,5.7808,2.2493,88.1790,0.6824,14,2.5700,0.3891,0.9352
15,RoiMask_0_STL22_MAX_Maria_AFA4007_9-1.tif:0015-0001-0134:c:1/2 t:15/241 - 1 - Position 9.Project Maximum Z,12.6929,6.2487,14.8635,6.2487,14.8635,17.7804,7.8550,2.0574,76.7092,0.5045,15,3.8179,0.2619,0.9150
16,RoiMask_0_STL22_MAX_Maria_AFA4007_9-1.tif:0016-0001-0130:c:1/2 t:16/241 - 1 - Position 9.Project Maximum Z,13.8908,6.2625,14.5196,6.2625,14.5196,17.0182,7.0917,2.4939,73.1879,0.6027,16,2.8436,0.3517,0.9236
17,RoiMask_0_STL22_MAX_Maria_AFA4007_9-1.tif:0017-0001-0114:c:1/2 t:17/241 - 1 - Position 9.Project Maximum Z,12.7655,6.3654,12.5588,6.3654,12.5588,16.4337,6.7862,2.3951,84.3146,0.5940,17,2.8334,0.3529,0.9122
18,RoiMask_0_STL22_MAX_Maria_AFA4007_9-1.tif:0018-0001-0078:c:1/2 t:18/241 - 1 - Position 9.Project Maximum Z,13.1890,6.6647,8.7256,6.6647,8.7256,19.0359,8.2805,2.0280,95.2843,0.4574,18,4.0831,0.2449,0.8532
19,RoiMask_0_STL22_MAX_Maria_AFA4007_9-1.tif:0019-0001-0079:c:1/2 t:19/241 - 1 - Position 9.Project Maximum Z,13.0801,6.6610,8.6961,6.6610,8.6961,17.9203,8.0408,2.0712,94.0050,0.5118,19,3.8822,0.2576,0.9046
20,RoiMask_0_STL22_MAX_Maria_AFA4007_9-1.tif:0020-0001-0074:c:1/2 t:20/241 - 1 - Position 9.Project Maximum Z,12.1484,6.6467,8.1125,6.6467,8.1125,17.2870,7.8858,1.9615,95.2623,0.5108,20,4.0203,0.2487,0.9049
21,RoiMask_0_STL22_MAX_Maria_AFA4007_9-1.tif:0021-0001-0100:c:1/2 t:21/241 - 1 - Position 9.Project Maximum Z,11.2530,6.8621,10.9365,6.8621,10.9365,15.9937,6.5528,2.1865,93.1676,0.5528,21,2.9970,0.3337,0.9025
22,RoiMask_0_STL22_MAX_Maria_AFA4007_9-1.tif:0022-0001-0125:c:1/2 t:22/241 - 1 - Position 9.Project Maximum Z,13.6488,6.6012,13.7664,6.6012,13.7664,19.3204,8.6480,2.0095,82.2319,0.4595,22,4.3036,0.2324,0.8875
23,RoiMask_0_STL22_MAX_Maria_AFA4007_9-1.tif:0023-0001-0146:c:1/2 t:23/241 - 1 - Position 9.Project Maximum Z,14.3264,5.8745,16.2727,5.8745,16.2727,19.6894,8.5553,2.1321,64.9567,0.4644,23,4.0126,0.2492,0.8956
24,RoiMask_0_STL22_MAX_Maria_AFA4007_9-1.tif:0024-0001-0121:c:1/2 t:24/241 - 1 - Position 9.Project Maximum Z,10.1519,6.6802,13.3535,6.6802,13.3535,14.4003,6.2122,2.0807,80.0292,0.6152,24,2.9856,0.3349,0.9443
25,RoiMask_0_STL22_MAX_Maria_AFA4007_9-1.tif:0025-0001-0090:c:1/2 t:25/241 - 1 - Position 9.Project Maximum Z,12.4993,7.1985,9.9291,7.1985,9.9291,17.8558,8.0430,1.9787,85.4903,0.4926,25,4.0648,0.2460,0.9370
26,RoiMask_0_STL22_MAX_Maria_AFA4007_9-1.tif:0026-0001-0090:c:1/2 t:26/241 - 1 - Position 9.Project Maximum Z,11.9306,7.1864,9.9746,7.1864,9.9746,17.4425,7.9310,1.9153,86.3717,0.4928,26,4.1407,0.2415,0.9092
27,RoiMask_0_STL22_MAX_Maria_AFA4007_9-1.tif:0027-0001-0108:c:1/2 t:27/241 - 1 - Position 9.Project Maximum Z,10.5270,6.8893,11.8685,6.8893,11.8685,14.5825,5.8402,2.2950,84.3651,0.6221,27,2.5447,0.3930,0.9182
28,RoiMask_0_STL22_MAX_Maria_AFA4007_9-1.tif:0028-0001-0127:c:1/2 t:28/241 - 1 - Position 9.Project Maximum Z,11.9306,6.8489,13.8413,6.8489,13.8413,16.9758,7.7026,1.9721,82.5557,0.5202,28,3.9058,0.2560,0.9215
29,RoiMask_0_STL22_MAX_Maria_AFA4007_9-1.tif:0029-0001-0137:c:1/2 t:29/241 - 1 - Position 9.Project Maximum Z,13.3826,6.2053,15.1869,6.2053,15.1869,18.7938,8.2285,2.0708,69.8380,0.4761,29,3.9737,0.2517,0.8644
30,RoiMask_0_STL22_MAX_Maria_AFA4007_9-1.tif:0030-0001-0121:c:1/2 t:30/241 - 1 - Position 9.Project Maximum Z,9.4985,6.6917,13.2839,6.6917,13.2839,13.6114,5.7521,2.1025,80.7214,0.6443,30,2.7358,0.3655,0.9197
31,RoiMask_0_STL22_MAX_Maria_AFA4007_9-1.tif:0031-0001-0095:c:1/2 t:31/241 - 1 - Position 9.Project Maximum Z,12.1000,7.1460,10.6121,7.1460,10.6121,17.1314,7.6664,2.0096,82.1896,0.5181,31,3.8149,0.2621,0.9087
32,RoiMask_0_STL22_MAX_Maria_AFA4007_9-1.tif:0032-0001-0072:c:1/2 t:32/241 - 1 - Position 9.Project Maximum Z,12.8623,7.2651,7.9757,7.2651,7.9757,18.2204,7.8717,2.0805,95.0308,0.4869,32,3.7837,0.2643,0.8735
33,RoiMask_0_STL22_MAX_Maria_AFA4007_9-1.tif:0033-0001-0075:c:1/2 t:33/241 - 1 - Position 9.Project Maximum Z,11.7370,7.2507,8.1981,7.2507,8.1981,16.8470,7.4929,1.9944,94.1582,0.5197,33,3.7569,0.2662,0.8990
34,RoiMask_0_STL22_MAX_Maria_AFA4007_9-1.tif:0034-0001-0095:c:1/2 t:34/241 - 1 - Position 9.Project Maximum Z,9.4864,7.2549,10.5241,7.2549,10.5241,13.1447,5.3186,2.2710,81.8069,0.6899,34,2.3420,0.4270,0.9486
35,RoiMask_0_STL22_MAX_Maria_AFA4007_9-1.tif:0035-0001-0136:c:1/2 t:35/241 - 1 - Position 9.Project Maximum Z,13.6488,6.4520,14.9133,6.4520,14.9133,19.9960,8.9973,1.9315,74.3490,0.4290,35,4.6582,0.2147,0.8861
36,RoiMask_0_STL22_MAX_Maria_AFA4007_9-1.tif:0036-0001-0144:c:1/2 t:36/241 - 1 - Position 9.Project Maximum Z,13.4189,5.7864,16.3537,5.7864,16.3537,18.0316,6.8828,2.4824,57.1852,0.5186,36,2.7727,0.3607,0.7865
37,RoiMask_0_STL22_MAX_Maria_AFA4007_9-1.tif:0037-0001-0130:c:1/2 t:37/241 - 1 - Position 9.Project Maximum Z,10.0914,6.7610,14.5321,6.7610,14.5321,14.6580,6.3152,2.0346,78.1991,0.5902,37,3.1039,0.3222,0.9515
38,RoiMask_0_STL22_MAX_Maria_AFA4007_9-1.tif:0038-0001-0095:c:1/2 t:38/241 - 1 - Position 9.Project Maximum Z,12.7655,7.2583,10.5770,7.2583,10.5770,18.2047,8.3690,1.9421,82.6519,0.4840,38,4.3092,0.2321,0.9345
39,RoiMask_0_STL22_MAX_Maria_AFA4007_9-1.tif:0039-0001-0076:c:1/2 t:39/241 - 1 - Position 9.Project Maximum Z,13.8303,7.2033,8.2196,7.2033,8.2196,19.2826,8.3497,2.1090,93.5119,0.4674,39,3.9591,0.2526,0.8782
