 ,Label,Area,X,Y,XM,YM,Perim.,Major,Minor,Angle,Circ.,Slice,AR,Round,Solidity
1,RoiMask_0_STL22_MAX_Maria_AFA4007_5-1.tif:0001-0001-0089:c:1/2 t:1/241 - 1 - Position 5.Project Maximum Z,12.8865,4.6733,9.7607,4.6733,9.7607,16.2404,6.8716,2.3877,102.3042,0.6140,1,2.8779,0.3475,0.8991
2,RoiMask_0_STL22_MAX_Maria_AFA4007_5-1.tif:0002-0001-0062:c:1/2 t:2/241 - 1 - Position 5.Project Maximum Z,11.1925,3.8419,6.7616,3.8419,6.7616,14.7114,6.2434,2.2825,96.3166,0.6499,2,2.7353,0.3656,0.9468
3,RoiMask_0_STL22_MAX_Maria_AFA4007_5-1.tif:0003-0001-0074:c:1/2 t:3/241 - 1 - Position 5.Project Maximum Z,11.9427,4.2792,8.1096,4.2792,8.1096,18.1559,7.9139,1.9214,101.9532,0.4553,3,4.1187,0.2428,0.9164
4,RoiMask_0_STL22_MAX_Maria_AFA4007_5-1.tif:0004-0001-0112:c:1/2 t:4/241 - 1 - Position 5.Project Maximum Z,13.7214,4.9814,12.1463,4.9814,12.1463,21.7247,10.1835,1.7156,94.9379,0.3653,4,5.9359,0.1685,0.8852
5,RoiMask_0_STL22_MAX_Maria_AFA4007_5-1.tif:0005-0001-0120:c:1/2 t:5/241 - 1 - Position 5.Project Maximum Z,13.6730,4.9847,13.2421,4.9847,13.2421,19.6536,9.0878,1.9156,91.2640,0.4448,5,4.7440,0.2108,0.9262
6,RoiMask_0_STL22_MAX_Maria_AFA4007_5-1.tif:0006-0001-0124:c:1/2 t:6/241 - 1 - Position 5.Project Maximum Z,13.4552,4.7615,13.8351,4.7615,13.8351,18.5536,8.5187,2.0111,90.4683,0.4912,6,4.2359,0.2361,0.9488
7,RoiMask_0_STL22_MAX_Maria_AFA4007_5-1.tif:0007-0001-0119:c:1/2 t:7/241 - 1 - Position 5.Project Maximum Z,12.1121,4.8288,13.4036,4.8288,13.4036,16.4070,7.0184,2.1973,90.6298,0.5654,7,3.1941,0.3131,0.9360
8,RoiMask_0_STL22_MAX_Maria_AFA4007_5-1.tif:0008-0001-0093:c:1/2 t:8/241 - 1 - Position 5.Project Maximum Z,12.1726,4.5815,10.4785,4.5815,10.4785,17.9470,8.0027,1.9367,96.2472,0.4749,8,4.1321,0.2420,0.9175
9,RoiMask_0_STL22_MAX_Maria_AFA4007_5-1.tif:0009-0001-0085:c:1/2 t:9/241 - 1 - Position 5.Project Maximum Z,13.6609,4.4687,9.2905,4.4687,9.2905,17.9470,7.9346,2.1921,98.5067,0.5330,9,3.6196,0.2763,0.9262
10,RoiMask_0_STL22_MAX_Maria_AFA4007_5-1.tif:0010-0001-0093:c:1/2 t:10/241 - 1 - Position 5.Project Maximum Z,12.5356,4.6062,10.0200,4.6062,10.0200,15.5270,6.4472,2.4756,94.1288,0.6534,10,2.6043,0.3840,0.9164
11,RoiMask_0_STL22_MAX_Maria_AFA4007_5-1.tif:0011-0001-0089:c:1/2 t:11/241 - 1 - Position 5.Project Maximum Z,13.4673,4.3190,9.7403,4.3190,9.7403,17.4692,7.7865,2.2022,94.7493,0.5546,11,3.5359,0.2828,0.9049
12,RoiMask_0_STL22_MAX_Maria_AFA4007_5-1.tif:0012-0001-0084:c:1/2 t:12/241 - 1 - Position 5.Project Maximum Z,13.6488,4.4779,9.0313,4.4779,9.0313,17.5447,7.7184,2.2515,93.0025,0.5572,12,3.4281,0.2917,0.9093
13,RoiMask_0_STL22_MAX_Maria_AFA4007_5-1.tif:0013-0001-0078:c:1/2 t:13/241 - 1 - Position 5.Project Maximum Z,13.5883,4.5797,8.5775,4.5797,8.5775,17.9203,7.8100,2.2153,89.3662,0.5317,13,3.5255,0.2836,0.8945
14,RoiMask_0_STL22_MAX_Maria_AFA4007_5-1.tif:0014-0001-0070:c:1/2 t:14/241 - 1 - Position 5.Project Maximum Z,14.7136,4.2979,7.7149,4.2979,7.7149,19.3314,8.7810,2.1335,91.9334,0.4948,14,4.1159,0.2430,0.9177
15,RoiMask_0_STL22_MAX_Maria_AFA4007_5-1.tif:0015-0001-0080:c:1/2 t:15/241 - 1 - Position 5.Project Maximum Z,11.8338,4.4132,8.4543,4.4132,8.4543,15.9937,6.4227,2.3459,92.3171,0.5814,15,2.7378,0.3653,0.8977
16,RoiMask_0_STL22_MAX_Maria_AFA4007_5-1.tif:0016-0001-0107:c:1/2 t:16/241 - 1 - Position 5.Project Maximum Z,13.7819,4.6341,11.5616,4.6341,11.5616,18.4625,8.5281,2.0576,93.1221,0.5081,16,4.1446,0.2413,0.9444
